iter	Passed	Remaining
679	1363	641
680	1364	639
681	1365	636
682	1366	634
683	1369	632
684	1371	630
685	1380	631
686	1382	630
687	1384	627
688	1385	625
689	1386	623
690	1390	621
691	1392	619
692	1393	617
693	1395	615
694	1397	613
695	1399	611
696	1400	608
697	1402	606
698	1407	606
699	1409	603
700	1410	601
701	1412	599
702	1414	597
703	1415	595
704	1423	595
705	1424	593
706	1425	590
707	1427	588
708	1429	586
709	1430	584
710	1431	581
711	1432	579
712	1433	577
713	1435	575
714	1437	572
715	1438	570
716	1440	568
717	1442	566
718	1443	564
719	1444	561
720	1445	559
721	1447	557
722	1448	554
723	1449	552
724	1452	550
725	1453	548
726	1454	546
727	1455	543
728	1456	541
729	1457	539
730	1458	536
731	1460	534
732	1461	532
733	1462	530
734	1463	527
735	1467	526
736	1468	524
737	1469	521
738	1470	519
739	1471	517
740	1473	514
741	1474	512
742	1475	510
743	1476	508
744	1477	505
745	1478	503
746	1479	501
747	1482	499
748	1484	497
749	1485	495
750	1487	493
751	1489	491
752	1490	488
753	1491	486
754	1492	484
755	1493	482
756	1496	480
757	1497	478
758	1498	475
759	1499	473
760	1500	471
761	1501	469
762	1502	466
763	1503	464
764	1504	462
765	1505	459
766	1506	457
767	1507	455
768	1508	453
769	1509	450
770	1512	449
771	1513	447
772	1515	444
773	1516	442
774	1517	440
775	1519	438
776	1520	436
777	1522	434
778	1523	432
779	1525	430
780	1528	428
781	1530	426
782	1531	424
783	1533	422
784	1535	420
785	1536	418
786	1537	416
787	1540	414
788	1541	412
789	1542	410
790	1543	407
791	1545	405
792	1546	403
793	1547	401
794	1548	399
795	1549	396
796	1550	394
797	1552	392
798	1553	390
799	1557	389
800	1558	387
801	1560	385
802	1561	383
803	1562	380
804	1563	378
805	1564	376
806	1565	374
807	1566	372
808	1567	370
809	1568	367
810	1570	365
811	1572	363
812	1574	362
813	1575	359
814	1576	357
815	1577	355
816	1578	353
817	1579	351
818	1580	349
819	1581	347
820	1582	345
821	1583	342
822	1585	340
823	1586	338
824	1587	336
825	1588	334
826	1589	332
827	1590	330
828	1591	328
829	1592	326
830	1593	324
831	1594	322
832	1595	319
833	1596	317
834	1597	315
835	1598	313
836	1600	311
837	1601	309
838	1602	307
839	1604	305
840	1605	303
841	1607	301
842	1608	299
843	1609	297
844	1610	295
845	1611	293
846	1612	291
847	1612	289
848	1613	287
849	1615	285
850	1617	283
851	1618	281
852	1619	279
853	1620	276
854	1621	274
855	1622	272
856	1623	270
857	1624	268
858	1625	266
859	1626	264
860	1627	262
861	1628	260
862	1630	258
863	1632	256
864	1633	254
865	1634	252
866	1635	250
867	1636	248
868	1637	246
869	1638	244
870	1639	242
871	1640	240
872	1641	238
873	1642	236
874	1643	234
875	1646	233
876	1647	231
877	1648	229
878	1649	227
879	1651	225
880	1652	223
881	1653	221
882	1654	219
883	1655	217
884	1656	215
885	1657	213
886	1658	211
887	1659	209
888	1660	207
889	1662	205
890	1664	203
891	1665	201
892	1665	199
893	1667	197
894	1668	195
895	1669	193
896	1669	191
897	1670	189
898	1671	187
899	1672	185
900	1673	183
901	1675	181
902	1678	180
903	1679	178
904	1680	176
905	1681	174
906	1682	172
907	1684	170
908	1685	168
909	1686	166
910	1687	164
911	1688	162
912	1689	161
913	1694	159
914	1695	157
915	1697	155
916	1699	153
917	1700	151
918	1702	150
919	1703	148
920	1705	146
921	1707	144
922	1708	142
923	1709	140
924	1710	138
925	1711	136
926	1712	134
927	1713	132
928	1714	131
929	1715	129
930	1717	127
931	1718	125
932	1719	123
933	1721	121
934	1723	119
935	1724	117
936	1725	116
937	1726	114
938	1727	112
939	1728	110
940	1729	108
941	1730	106
942	1731	104
943	1732	102
944	1734	100
945	1735	99
946	1740	97
947	1741	95
948	1743	93
949	1745	91
950	1746	89
951	1747	88
952	1748	86
953	1749	84
954	1749	82
955	1752	80
956	1754	78
957	1755	76
958	1757	75
959	1759	73
960	1760	71
961	1761	69
962	1762	67
963	1763	65
964	1764	63
965	1765	62
966	1767	60
967	1769	58
968	1770	56
969	1771	54
970	1772	52
971	1773	51
972	1774	49
973	1775	47
974	1776	45
975	1777	43
976	1778	41
977	1779	40
978	1780	38
979	1782	36
980	1783	34
981	1784	32
982	1785	30
983	1787	29
984	1788	27
985	1790	25
986	1791	23
987	1792	21
988	1793	19
989	1795	18
990	1797	16
991	1799	14
992	1800	12
993	1801	10
994	1802	9
995	1803	7
996	1805	5
997	1806	3
998	1807	1
999	1808	0
